일련번호,인증번호,인증일자,회사명,제품,등급,시험번호,S/W분류,제품 설명,총WD,재계약,특이사항,"시작날짜/
종료날짜",시험원
3856,17-0351,2017.08.31,"㈜악어디지털
Akuodigital Co., Ltd.
(구: ㈜악어스캔
Ascan CO., LTD)","파인노트 2
(Pinenote 2)",1등급,GS-A-17-090,디지털콘텐츠 SW-기타,종이 기록물을 전자문서로 관리하기 위한 기록물 관리 프로그램,16,,,2017.07.25 ~ 2017.08.17,"박세림, 이다운"
3857,17-0352,2017.08.31,"㈜가이아웨어
GAIAWARE Co., Ltd.","사이다 v2.0
(Cider v2.0)",1등급,GS-B-17-027,유틸리티 SW-기타,"서버 운영체제에 대한 백업 및 복구, 복제를 수행하고, 백업/복구 내역조회, 스케줄 등록/관리 등을 지원하는 운영체제 백업복구 솔루션",21,,SW자산활용촉진사업 통합품질테스트 건으로 외부 WD(결과서 기재)에는 25일로 표시,2017.7.20 ~ 2017.8.25,"정광락, 서다솜"
3858,17-0353,2017.08.31,"㈜하가
HAGA Co., Ltd.","유아용 다중지능 검사 v1.0
(CBT-PMI v1.0)",1등급,GS-B-17-190,유틸리티 SW-기타,온라인으로 다중지능 검사를 수행하고 검사 결과를 확인할 수 있도록 지원하는 유아 다중지능  검사 프로그램,15,,,2017.08.04 ~ 2017.08.28,"김성희, 정지민"
3859,17-0354,2017.08.31,"㈜엠디에스인텔리전스MDS Intelligence Inc.
(구 : ㈜한컴인텔리전스
Hancom Intelligence Inc.)
(구: ㈜한컴MDS
HancomMDS Inc.)
(구: ㈜한컴시큐어
HANCOM SECURE Inc.)","네오키매니저 v3.0
(NeoKeyManager v3.0)",1등급,GS-A-16-450,보안용 SW-기타,HSM(하드웨어 보안 모듈)과 연동하여 암호키를 관리하는 솔루션,20,,,2017.07.17 ~ 2017.08.11,"이재효, 정은하"
3860,17-0355,2017.08.31,"㈜한컴시큐어
HANCOM SECURE Inc.","제큐어프리사인 v1.1
(XecureFreeSign v1.1)",1등급,GS-A-17-148,보안용 SW-기타,본 제품은 사용자가 인증서를 휴대하지 않아도 서버에 저장된 인증서를 사용하여 전자서명을 수행하는 서버기반 인증서 관리 솔루션으로 주요 기능은 다음과 같다.,25,,,2017.07.11 ~ 2017.08.16,"박장우,이태진"
3861,17-0356,2017.08.31,"㈜엘케이일레븐
LK Eleven Co., Ltd","SCADA 다기능 원격소장치 v2.0
(SCADA Multi-Function Remote Terminal Unit v2.0)",1등급,GS-A-17-194,시스템관리 SW-감시장비제어,본 제품은 변전소 등의 전력시설에 설치되어 있는 전력설비의 기기상태를 관제하는 프로그램임,25,,,2017.07.19 ~ 2017.08.24,"채희문, 정송희"
3862,17-0357,2017.08.31,"이씨플라자㈜
ECPlaza Network Inc.","B2B O2O 서비스 / B2C O2O 서비스 v1.0
(B2B O2O Service / B2C O2O Service v1.0)",1등급,GS-A-17-195,웹서비스용 SW-기타,본 프로그램은 사용자 및 상품을 관리하는 쇼핑몰 플랫폼임,12,,,2017.08.07 ~ 2017.08.24,"채희문, 김성훈"
3863,17-0358,2017.09.04,"㈜투루텍
Truetech Co., Ltd.","온-나라 연계 수기 취합업무 전산화 시스템 v1.0
(True-WDG v1.0)",1등급,GS-C-17-042,기업용 SW-기타,"분산된 정보를 전산화하여 취합하고,온-나라 시스템을 통해 결재를 상신하는 취합업무 전산화 시스템",13,,,2017.08.08 ~ 2017.08.25,"송옥수, 박진희"
3864,17-0359,2017.09.04,"㈜지오넷
GONET Co., Ltd.","알리고-씨엠에스 v1.0
(ALIGO-CMS v1.0)",1등급,GS-C-17-049,디지털콘텐츠 SW-디지털콘텐츠관리(CMS),"본 제품은 웹사이트의 메뉴, 사용자, 콘텐츠 등을 관리하는 웹 콘텐츠 관리 시스템(CMS:Contents Management System)",16,,,2017.08.08 ~ 2017.08.30,"전지은,박지민"
3865,17-0360,2017.09.04,"닥스콘㈜
Docscon Inc.","아프로쉬 에디터 프로페셔널 v1.0
(Aproshe Editor Professional v1.0)",1등급,GS-B-17-186,유틸리티 SW-기타,멀티미디어 콘텐츠를 PDF 파일 내에 임베딩한 교육용 콘텐츠의 개발을 지원하는 프로그램,22,,,2017.07.31 ~ 2017.08.31 ,"이공선, 김서현"
3866,17-0361,2017.09.04,"㈜알파비트
AlphaBit Co., Ltd.","유브이알 플랫폼 V1.0
(YouVR Platform V1.0)",1등급,GS-B-17-198,디지털콘텐츠 SW-기타,"스마트폰과 360도 카메라를 통해 촬영된 360도 사진을 이용하여 VR 컨텐츠를 생성, 편집 및 공유 등의 기능을 지원하는 VR 컨텐츠  제작 프로그램",18,,SW자산활용촉진사업 통합품질테스트 건으로 외부 WD(결과서 기재)에는 23일로 표시,2017.7.28 ~ 2017.8.31,"정광락, 박다영"
3867,17-0362,2017.09.04,"㈜핸디소프트
HANDYSOFT, Inc","핸디 지엠에스 v1.0
(HANDY GMS v1.0)",1등급,GS-A-17-056,기업용 SW-기타,"본 제품은 경영 시스템 등의 사내 프로세스 도입
 및 운영시 국제 표준을 적용할 수 있도록 일련의 과정을 통합적으로 관리할 수 있는 시스템임",28,,,"2017.07.24~
2017.09.01","김지웅,임경모"
3868,17-0363,2017.09.04,"시큐레터㈜
SecuLetter Co., Ltd.","MARS V2
(MARS V2)",1등급,GS-A-17-149,보안용 SW-기타,이메일로 수신되는 문서파일을 분석하여 악성파일을 탐지 및 분류하는 악성파일 탐지 시스템,20,,,2017.07.31 ~ 2017.08.29,"김유진, 천혜영"
3869,17-0364,2017.09.04,"시큐레터㈜
SecuLetter Co., Ltd.","MARS V2 SLF
(MARS V2 SLF)",1등급,GS-A-17-150,보안용 SW-기타,공유폴더에 업로드되는 문서파일을 분석하여 악성파일을 탐지 및 분류하는 악성파일 탐지 시스템,20,,,2017.07.03 ~ 2017.07.28,"김유진, 천혜영"
3870,17-0365,2017.09.04,"㈜알파비트
AlphaBit Co., Ltd.","알파 스마트가드 v3.1
(Alpha SmartGuard v3.1)",1등급,GS-A-17-198,시스템관리 SW-기타,암호화 키 관리 서버(KMS) 기반의 데이터 암복호화 솔루션,18,,,2017.07.27 ~ 2017.08.23,"구정회, 안신미"
3871,17-0366,2017.09.04,"㈜투비원솔루션즈
2beone Solutions Co., Ltd","티투씨 플랫폼 v1.0
(T2C(Tablet to Car) Platform v1.0)",1등급,GS-A-17-203,디지털콘텐츠 SW-기타,본 제품은 내비게이션 앱 연동 등을 통해 다양한 편의 기능을 제공하는 차량용 인포테인먼트 프로그램이다.,17,,,2017.07 26 ~ 2017.08.21,"이재효,반지원"
3872,17-0367,2017.09.04,"㈜에스아이시스템
SI SYSTEM CO., Ltd.","웹기반의 실시간 수처리 분석용 통합 원격(원방)감시제어 시스템 Ver. 2.0
(Web-based real-time analysis of Integration remote monitoring and control system Ver. 2.0)",1등급,GS-A-17-205,시스템관리 SW-기타,상하수 처리시설 등의 공정시스템의 실시간 감시 제어 및  분석 기능을 제공하는 프로그램,15,,,2017년 8월 2일 ~ 2017년 8월 24일,"구자경,조혜진"
3873,17-0368,2017.09.11,"켐아이넷㈜
CHEM.I.NET., Ltd.","화학물질 노출과 위해성 평가 시스템 v1.0
(CHEmical Exposure and Risk assessment System v1.0)",1등급,GS-B-17-185,유틸리티 SW-기타,본 제품은 제품개발 시 사용한 화학물질에 대한 위해성 평가를 지원하는 온라인 기반 프로그램,23,,,2017.08.07 ~ 2017.09.08,"김기두, 김다혜"
3874,17-0369,2017.09.11,"㈜한위드정보기술
HANWITH Information Technology Co., Ltd.","In-memory 데스크탑 가상화 v2.0
(HDaaS v2.0)",1등급,GS-B-17-254,기업용 SW-기타,본 제품은 원격지 PC에서 서버의 가상 데스크탑을 사용할 수 있는 프로그램,24,"GS-B-17-139 , 20WD
GS-B-17-254 (1차)
,4WD",,"2017년 6월 28일 ~ 2017년 7월 25일
2017년 8월 25일 ~ 2017년 8월 30일(재시험)
","장세헌, 이세인"
3875,17-0370,2017.09.11,"㈜지오멕스소프트
GEOMEXSOFT Co., Ltd.","지오멕스웹 v4.0
(GEOMEX-Web v4.0)",1등급,GS-A-17-255,GIS SW-기타,"웹(Web)을 통해 공간정보 데이터에 대한 검색, 변경 및 시각화 기능을 제공하는 표준화된 웹 GIS(Geographic Information System) 엔진 솔루션",15,,,2017.08.09 ~ 2017.08.31,"김성희, 조유미"
3876,17-0371,2017.09.11,"㈜엘쏠텍
Elsoltec Co., Ltd.","티쏠 v1.0
(T•sol v1.0)",1등급,GS-A-16-463,디지털콘텐츠 SW-기타,본 제품은 3차원 전산유체해석 기반의 배관 감육(두께 감소현상) 예측 및 평가 프로그램,25,,,2017.07.25 ~ 2017.08.30,"윤동환, 김현우"
3877,17-0372,2017.09.11,"㈜티플러스
TPLUS Co., Ltd.","뷰바인 v1.0
(View Vine v1.0)",1등급,GS-A-17-161,임베디드 SW-의료장비용,"본 제품은 병원에서 보유한 각종 영상장치에서 수집된 영상을 관리, 조회할 수 있는 의료영상관리 프로그램으로 주요 기능은 다음과 같다.",21,,,2017.08.07 ~ 2017.09.06,김홍익(박정환)
3878,17-0373,2017.09.11,"㈜위트젠
Wtjen","온타임 v1.0
(ON-TIME v1.0)",1등급,GS-A-17-196,시스템관리 SW-PC 관리,기업 내 직원들의 PC 사용을 근무 정책에 맞게 제어하고 PC 사용 현황을 모니터링 할 수 있는 PC 관리 프로그램,18,,,2017.08.02 ~ 2017.08.29,"신우준, 조민영"
3879,17-0374,2017.09.11,"㈜티맥스소프트
TmaxSoft","웹투비 5
(WebtoB 5)",1등급,GS-A-17-363,미들웨어 SW-기타,HTTP를 통해 클라이언트(웹 브라우저)에서 요청하는 HTML 문서를 응답하는 웹 서버,32,"GS-A-16-430, 27WD
GA-A-17-363(1차), 5WD ",,"2017.06.07 ~ 2017.07.13

2017.08.28 ~ 2017.09.01","이재효, 엄경숙, 전나은"
3880,17-0375,2017.09.18,"P&S시스템
P&S SYSTEM","데스포르 사물함 자동 배정 통합운영관리 시스템 v1.0 
(Desport v1.0)",1등급,GS-C-17-035,기업용 SW-기타,"스포츠센터의 사물함, 회원, 매출 등을 관리하기 위한 프로그램",15,,,2017.08.17 ~ 2017.09.06,"전지은, 김응협"
3881,17-0376,2017.09.18,"㈜시우이엔티
Siwoo E&T. Co., Ltd.","마린오피스 v2.6
(Marine Office v2.6)",1등급,GS-C-17-039,기업용 SW-프로젝트관리(PMS),선박 운용과 관련된 각종 데이터를 효율적으로 관리하기 위한 프로그램,16,,,2017.08.17 ~ 2017.09.07,"이재훈, 이상익"
3882,17-0377,2017.09.18,"㈜나산전기산업
NASAN ELECTRIC INDUSTRIES.CO., LTD
㈜에스지이노베이션
SG INNOVATION CO., LTD.
(구: ㈜에스지이노베이션
SG INNOVATION CO., LTD.)","태양광 발전 설비 통합 모니터링 시스템 v1.0
(Solar facility Total monitoring System v1.0)",1등급,GS-C-17-058,시스템관리 SW-기타,태양광 발전 설비의 상태 및 정보를 실시간으로 모니터링하는 태양광 발전 설비 모니터링 시스템,12,,,2017.08.23 ~ 2017.09.07,"송옥수, 이유진"
3883,17-0378,2017.09.18,"㈜에이티앤피파트너즈
At&P Partners corp.","예타 클라우드 v1.0
(YETA cloud v1.0)",1등급,GS-B-17-197,기업용 SW-기타,임직원의 연말정산 프로세스를 지원하는 연말정산 프로그램,25,,,2017.08.10~2017.09.15,"김성희, 유지영, 정예진"
3884,17-0379,2017.09.18,"㈜위즈브레인
WIZ BRAIN Inc.","에어허브 v3.0
(AirHub v3.0)",1등급,GS-B-17-204,임베디드 SW-기타,본 제품은 다수의 모니터로 이루어진 상황판에 모니터 경계와 무관하게 여러 개의 영상을 자유롭게 배치하여 전시할 수 있는 프로그램,20,,,2017.08.10 ~ 2017.09.08,"장세헌, 정희정"
3885,17-0380,2017.09.18,"㈜시큐센
Secucen","앱아이언 v2.0
(AppIron v2.0)",1등급,GS-A-17-095,보안용 SW-기타,안드로이드와 iOS 앱의 위/변조 및 역분석을 방지하는 보안소프트웨어,21,,,2017년 7월 28일 ~ 2017년 8월 29일,"구자경,문예은"
3886,17-0381,2017.09.18,"㈜ 하이브시스템
Hive System co. Ltd
(구: ㈜에이치앤비트
H&BiT CO.,LTD.)","영상암호화 펌웨어솔루션 v1.0
(Video Encryption Firmware Solution v1.0)",1등급,GS-A-17-134,보안용 SW-디지털콘텐츠보안,LIPEX 이미지 셔플러 알고리즘을 사용하여 영상 전송 간 영상 암호화를 제공하는 펌웨어 솔루션,10,,,201708.28 ~ 2017.09.08,박정환. 이상훈
3887,17-0382,2017.09.18,"㈜가온아이
KAONi Co., Ltd.","이지플로우 v6.0
(ezFlow v6.0)",1등급,GS-A-17-217,기업용 SW-그룹웨어(Groupware),"포탈, 전자메일, 전자결재, 게시판 등의 기능을 제공하여 기업 내 업무를 처리할 수 있게 해주는 그룹웨어 솔루션",20,,,2017.08.09 ~ 2017.09.12,"김유진, 김지원"
3888,17-0383,2017.09.18,"다원씨앤에스㈜
DAONECNS Co., Ltd.","스틸아이 프로텍션 슈트 9
(STEELEYE PROTECTION SUITES 9)",1등급,GS-A-17-227,기업용 SW-기타,"DBMS, IP, 디스크 및 일반 어플리케이션 등의 리소스를 주기적으로 감시하여 장애 상황 발생 시 자동으로 복구 및 절체 기능을 수행하는 H/A(High Availability) 솔루션",21,,,2017.08.07 ~ 2017.09.06,"박상신, 박혜리"
3889,17-0384,2017.09.18,"㈜가넷
GARNET Co., Ltd.","가넷 소프트웨어 네트워크관리시스템 v1.0
(Garnet SW NMS v1.0)",1등급,GS-A-17-258,시스템관리 SW-네트워크 관리(NMS),본 제품은 네트워크 장비의 상태 및 성능을 모니터링하는 NMS(Network Management System)임,21,,,2017.08.01 ~ 2017.08.31,"이윤선, 이지영"
3890,17-0385,2017.09.18,"㈜이스트소프트
ESTsoft Corp.","알툴즈 통합보안팩 v12.0
(ALTools security extension pack v12.0)",1등급,GS-A-17-366,유틸리티 SW-기타,"바이러스/악성코드 검사 및 치료, PDF 문서 관리, 파일 압축, 이미지 뷰어/편집, 개인정보 검색, 파일 전송 프로그램 등으로 구성된 통합 패키지 솔루션",15,,,2017.08.16 ~ 2017.09.05,"신우준, 이다운"
3891,17-0386,2017.09.21,"㈜유시스
UXIS. Co., Ltd.","아이로그아이(통합로그관리솔루션) v1.0
(i-LogEYE v1.0)",1등급,GS-C-17-050,시스템관리 SW-기타,사이트별 여러 유형의 로그를 모니터링하고 관리하기 위한 통합로그관리솔루션,12,,,2017.08.28 ~ 2017.09.12,"송옥수, 박진희"
3892,17-0387,2017.09.21,"㈜에버스핀
EVERSPIN Co., Ltd.","에버세이프 v2.0
(Eversafe v2.0)",1등급,GS-B-17-158,보안용 SW-기타,설정된 보안 정책에 따라 잠재적 보안 위험요소를 탐지하고 차단하여 그 결과를 모니터링하는 보안솔루션,20,,,"2017.08.10 ~
2017.09.01","김성희 책임, 홍승국 전임, 김희연 전임"
3893,17-0388,2017.09.21,"㈜아바타 커뮤니케이션
Avatar Communication Co., Ltd.","아바타 ERP v3.0
(Avatar ERP v3.0)",1등급,GS-B-17-162,기업용 SW-전사적자원관리(ERP),"본 제품은 여행사의 단체 현황 관리, 거래처 관리, 결산 및 회계 관리 등의 업무를 지원하는 여행사 전용 ERP 솔루션으로 주요 기능은 다음과 같다.",23,,,2017.8.2 ~ 2017.9.5,"김성희, 유지영, 신혜선"
3894,17-0389,2017.09.21,"㈜나이콤
NICOM","스마트도서관 v2.0
(Smart Library v2.0)",1등급,GS-A-17-021,기업용 SW-기타,무인 도서관 운영 시스템,20,,,2017.08.16 ~ 2014.09.12,"박장우, 이수현"
3895,17-0390,2017.09.21,"㈜한컴위드
HANCOM WITH INC.
(구: ㈜한컴시큐어
HANCOM SECURE Inc.)","Hancom Pass v1.1
(구: 제큐어패스 v1.1
(XecurePass v1.1))",1등급,GS-A-17-152,보안용 SW-기타,"FIDO 기반의 지문 인증을 통하여 패스워드 없는 사용자 인증 환경을 제공하며, FIDO 표준을 준수한 제품들과 호환이 가능한 사용자 인증 솔루션",25,,,2017.07.31 ~ 2017.09.05,"정다희, 김태욱"
3896,17-0391,2017.09.21,"㈜파코코리아인더스
Parker Korea Indus Co., Ltd.","비디오 감지관리 소프트웨어 v2.4.5
(FLUX v2.4.5)",1등급,GS-A-17-247,시스템관리 SW-기타,영상 감지기를 통해 분석된 이벤트 및 교통정보 자료를 사용자에게 제공하는 솔루션,14,,,2017.08.17 ~ 2017.09.05,"정다희, 홍지원"
3897,17-0392,2017.09.25,"㈜아르고스
ARGOS Inc","로고스 핀스 v1.0
(LOGOS PINS v1.0)",1등급,GS-C-17-038,기업용 SW-기타,"서버에 저장된 개인정보 조회내역을 이메일, 스마트폰 앱, 팩스 등으로 발송하는 프로그램",13,,,2017.08.31 ~ 2017.09.18,"전지은, 박지민"
3898,17-0393,2017.09.25,"대영채비㈜
Daeyoung chaevi Co., Ltd.","채비 v3.0
(Chaevi v3.0)",1등급,GS-C-17-100,임베디드 SW-임베디드용,전기 자동차 충전을 위한 프로그램,12,,,2017.09.04 ~ 2017.09.19,"이재훈, 김응협"
3899,17-0394,2017.09.25,"㈜에이유아이소프트
AUISoft Co. Ltd.","에이유아이그리드 v3.0
 (AUIGrid v3.0)",1등급,GS-B-17-115,유틸리티 SW-기타,본 제품은 웹 기반으로 데이터 그리드를 생성하는 프로그램,23,,,2017.08.16 ~ 2017.09.15,"김기두, 우수진"
3900,17-0395,2017.09.25,"라온위즈 주식회사
RAONWIZ Inc.
(구: 라온위즈기술㈜
RAONWIZ Inc.)","라온케이 업로드 2018
(RAON K Upload 2018)",1등급,GS-B-17-196,프로그램개발 관련 SW-기타,웹 브라우저에서 파일 업로드 및 다운로드 기능을 구현할 수 있도록 지원하는 API 라이브러리,16,,,2017.8.24 ~ 2017.9.14,"정광락, 박다영, 서다솜"
3901,17-0396,2017.09.25,"㈜엔텍시스템
Nteksystem Co., Ltd.","154kV 집중감시제어반 v4.0
(154kV SICS HMI v4.0)",1등급,GS-A-17-172,시스템관리 SW-감시장비제어,"154kV급 변전소의 원격소장치(Remote Terminal Unit)와 연결되어 운영자가 수신 데이터 정보를 모니터링하고, 조작 명령을 원격소장치로 전송하여 현장 설비를 제어하는 프로그램",20,,,2017.08.17 ~ 2017.09.13,"박세림, 오가영"
3902,17-0397,2017.09.25,"㈜엔텍시스템
Nteksystem Co., Ltd.","345kV 집중감시제어반 v4.0
(345kV SICS HMI v4.0)",1등급,GS-A-17-173,시스템관리 SW-감시장비제어,"345kV급 변전소의 원격소장치(Remote Terminal Unit)와 연결되어 운영자가 수신 데이터 정보를 모니터링하고, 조작 명령을 원격소장치로 전송하여 현장 설비를 제어하는 프로그램",20,,,2017.08.17 ~ 2017.09.13,"박세림, 유석봉"
3903,17-0398,2017.09.25,"㈜아비도스
ABYDOS Co., Ltd.","아비도스 전자출결 시스템 (레디) v1.0
(abydos attendance system (ready) v1.0)",1등급,GS-B-17-179,기업용 SW-기타,웹(Web)과 모바일 앱(App)으로 강의와 학생의 출결을 관리하는 프로그램,23,,,2017.8.8 ~ 2017.9.8 ,"이공선, 이지현"
3904,17-0399,2017.09.25,"㈜네오텍소프트
NEOTECHSOFT Co., Ltd.","이미트플러스 v5.0
(eMEETplus v5.0)",1등급,GS-A-17-242,유틸리티 SW-화상회의,"원격지에 위치한 다수의 PC 사용자가 카메라 촬영 영상, 음성, 파일 콘텐츠 등을 공유하며 회의를 진행하는 다자간 화상회의 솔루션",13,,,2017.08.31 ~ 2017.09.18,방영규(김유진)
3905,17-0400,2017.09.28,"㈜에이티지랩
ATGLAB Inc.","코드엔조이 v1.0
(codeenjoy v1.0)",1등급,GS-B-17-212,교육용 SW-기타,"웹 페이지를 통해 코딩 실습, 동영상 강의 등의 코딩 교육을 수행하기 위한 프로그램",10,,,"2017.09.4 ~
2017.09.15","홍승국 전임, 김희연 전임"
3906,17-0401,2017.09.28,"특허법인 신태양
STY Patent Law Firm","비즈니스 플랫폼 v1.0
(Business Platform v1.0)",1등급,GS-A-17-166,디지털콘텐츠 SW-웹페이지저작,스틱 PC에 구축된 소규모 웹사이트,18,,,2017.08.21 ~ 2014.09.13,"박장우, 이태진"
3907,17-0402,2017.09.28,"㈜에이텍티앤
ATECT& Co.,LTD.","신분증 인식 솔루션 V3.0
(The Solution of ID(Identification) Card Recognition V3.0)",1등급,GS-A-17-190,기업용 SW-기타,신분증 인식기를 통해 다양한 카드를 인식하고 정상 및 위조 카드를 판별하는 소프트웨어,8,,,2017.03.13 ~ 2017.09.22,"김유진, 홍지원"
3908,17-0403,2017.09.28,"㈜클로닉스
Clonix Co.,Ltd.","RansomDefender v1.5
(RansomDefender v1.5)",1등급,GS-A-17-241,보안용 SW-기타,행위기반 악성행위 탐지를 통해 PC 내 저장된 파일을 보호하는 악성코드 탐지 프로그램,15,,,2017.08.29 ~ 2017.09.18,"임성은,오서영"
3909,17-0404,2017.09.28,"㈜유비에스티
UBST Co., Ltd.","유심비엠 v4.1
(USIM-BM v4.1)",1등급,GS-A-17-259,디지털콘텐츠 SW-기타,스캔된 도서 이미지를 전자 문서화할 수 있는 전자 문서 변환 프로그램,14,,,2017.08.30 ~ 2017.09.18,"신우준, 조민영"
3910,17-0405,2017.09.28,"㈜스트림비젼
StreamVision Co., Ltd.","에스브이-이에스디알 v11.0
(SV-ESDR  v11.0)",1등급,GS-A-17-277,유틸리티 SW-기타,"비디오/오디오 인코딩 및 출력(스트리밍, 파일 녹화 등)을 지원하는 프로그램",15,,,2017년 8월 28일 ~ 2017년 9월 15일,"구자경,조혜진"
3911,17-0406,2017.09.28,"㈜리얼허브
RealHub Corp., Ltd.","XIDE-eLPR V1.0
(XIDE-eLPR V1.0)",1등급,GS-A-17-308,시스템관리 SW-감시장비제어,차량 번호 이미지를 검색하는 소프트웨어,13,,2015.05.19 ~ 2015.06.26,2017년 8월 30일 ~ 2017년 9월 15일,"구자경,문예은"
3912,17-0407,2017.10.11,"마린웍스㈜
Marineworks Co., Ltd.","피엠쓰리디 2  v3.0
(PM3D 2 v3.0)",1등급,GS-C-17-047,GIS SW-기타,선박 운항에 필요한 해도 및 항로 정보와 선박 주변 정보를 표시해주는 전자해도표시정보시스템(ECDIS),24,,,2017.08.18 ~ 2017.09.20,"이재훈, 서강복"
3913,17-0408,2017.10.11,"마린전자상사
Marine Electronics. Co.","피엠쓰리디  v2.0
(PM3D v2.0)",1등급,GS-C-17-060,GIS SW-기타,선박 운항에 필요한 해도 및 항로 정보와 선박 주변 정보를 표시해주는 전자해도표시정보시스템(ECDIS),24,,,2017.08.18 ~ 2017.09.20,"이재훈, 서강복"
3914,17-0409,2017.10.11,"㈜세넷시스템즈
Sennet Systems Co., Ltd.","이지게이터 V3.3
(Ez-GATOR V3.3)",1등급,GS-B-17-166,유틸리티 SW-FTP,기업 내/외부 간의 대용량 파일 송수신을 중앙집중식으로 통합 관리하고 모니터링할 수 있도록 지원하는 파일 전송 솔루션,23,,,2017.08.30 ~ 2017.09.29,"김성희, 정지민"
3915,17-0410,2017.10.11,"㈜지오멕스소프트
GEOMEXSOFT Co., Ltd.","MapOS v1.0
(MapOS v1.0)",1등급,GS-A-17-256,GIS SW-기타,"레이어 파일 입출력, 객체 추가 및 편집, GIS 정보 분석 및 계산 기능 등을 포함하는 C/S환경의 GIS 소프트웨어 개발용 라이브러리",15,,,2017.09.06 ~ 2017.09.26,"김성희, 조유미"
3916,17-0411,2017.10.11,"㈜시큐웨어
Secuware Inc.","다수사상자 대응시스템 v1.0
(Massive Casualty Response System v1.0)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",1등급,GS-A-17-266,기업용 SW-기타,전자트리아지태그와 스마트폰 앱을 사용하여 사고현장에서 환자 중증도를 분류하고 관리하는 시스템,15,,,2017.09.15 ~ 2017.09.29 ,"이공선, 김지원"
3917,17-0412,2017.10.11,"소울테크㈜
soultech Co, Ltd.","영상식 차량검지기 v2.0
(Vehicle Detector(Video) v2.0)",1등급,GS-A-17-389,시스템관리 SW-기타,본 제품은 교통 통행량 분석을 위해 카메라 영상을 활용한 주행 차량 검지 솔루션,14,,,2017.09.14 ~ 2017.10.11,"박장우,이태진"
3918,17-0413,2017.10.16,"㈜매트론
Mattron Corp.","해양 플랜트용 안전관리 시스템 v1.0
(Safety management system for off-shore plant v1.0)",1등급,GS-C-17-068,시스템관리 SW-기타,작업 환경에서 측정되는 각종 데이터를 모니터링하는 프로그램,14,,,2017.09.12 ~ 2017.09.29,"이재훈, 이상익"
3919,17-0414,2017.10.16,"㈜윈투스시스템
Wintussystem Co.,Ltd.","CCTV통합운영관리프로그램 v1.0
(TM-Watch v1.0)",1등급,GS-B-17-152,기업용 SW-기타,본 제품은 CCTV 구축 및 유지보수 사업에 관련된 CCTV 정보를 관리하는 프로그램으로 주요 기능은 다음과 같다.,23,,,2017.09.01 ~ 2017.10.11,"김성희, 유지영, 신혜선"
3920,17-0415,2017.10.16,"펜타시큐리티㈜
Penta Security Inc.
(구 : 펜타시큐리티시스템㈜
Penta Security Systems Inc.)","와플 v5.0
(WAPPLES v5.0)",1등급,GS-B-17-175,보안용 SW-침입차단(방화벽),외부로부터 웹 서버로 들어오는 HTTP/HTTPS 프로토콜 트래픽을 감시하여 악의적인 공격에 대응하는 웹 어플리케이션 방화벽 ,25,,,2017.8.29 ~ 2017.10.10,"정광락, 박다영"
3921,17-0416,2017.10.16,"㈜피플아이
People-i Co., Ltd.","팀원 v1.0
(TEAMONE v1.0)",1등급,GS-A-17-175,프로그램개발 관련 SW-프로그램개발지원,"프로그램은 MFC 기반 UI 컴포넌트(다이얼로그, 윈도우, 버튼, 콤보박스 등)를 화면에 배치하여 소스코드 파일을 생성할 수 있는 GUI  개발 지원 도구",25,,,2017.08.29 ~ 2017.10.10,"최근영,한승필,박지환"
3922,17-0417,2017.10.16,"인텍전기전자㈜
ENTEC ELECTRIC&ELECTRONIC CO., LTD.","SCADA 다기능 원격소장치 v2.0
(SCADA Multi-function Remote Terminal Unit v2.0)",1등급,GS-A-17-221,시스템관리 SW-감시장비제어,"본 제품은 현장에 설치된 전력설비(변전소, 발전소 등)의 운전 정보를 수집하여 상위 제어소로 전송하고, 상위 제어소의 제어 메시지를 수신하여 설비를 제어하는 원격소장치 운용 및 관리 프로그램으로 주요기능은 다음과 같다.",23,,,2017.08.29 ~ 2017.09.28,엄경숙
3923,17-0418,2017.10.16,"엑스투씨앤씨㈜
XII C&C Inc.","하이퍼웍스 안티랜섬웨어 10
(Hyperworks Anti-Ransomware 10)",1등급,GS-A-17-229,유틸리티 SW-데이터백업/복구,랜섬웨어 감염시 데이터 복구를 위해 사용자가 지정한 확장자를 가진 파일에 대한 실시간 백업 및 복구 기능을 제공하는 데이터 백업/복구 프로그램,11,,,2017.9.13 ~ 2017.9.27,"박상신, 박혜리"
3924,17-0419,2017.10.19,"탑시스템㈜
TOP SYSTEM CO.,LTD","345kV 집중감시제어반 ((OpenScada-7100i) v2.0
345kV SICS (OpenScada-7100i) v2.0)",1등급,GS-A-17-235,시스템관리 SW-기타,345kV 변전소의 전력 설비 감시 및 제어가 가능한 원방감시 제어 프로그램,25,,,2017.08.28 ~ 2017.09.29,"구정회, 정송희"
3925,17-0420,2017.10.19,"쿠도커뮤니케이션㈜
CUDO COMMUNICATION","IntelliVIX-RAS v4.0
(IntelliVIX-RAS v4.0)",1등급,GS-A-17-271,유틸리티 SW-기타,영상시스템으로 원격 연결하여 실시간 모니터링/검색/재생/설정 등을 수행하는 영상 모니터링 전용 소프트웨어,6,"재계약된 경우 기재
(메모 참조)",기존에 인증받은 제품과 유사한 기능으로 구성되어 있어 WD6로 산정되었음,2017.09.22 ~ 2017.09.29,"임성은,고은비"
